,red,blue,green,scaled_red,scaled_blue,scaled_green
329,230,68,61,3.089785,0.814796,0.855822
330,235,80,67,3.156954,0.958584,0.940002
331,225,73,59,3.022616,0.874708,0.827763
332,230,73,63,3.089785,0.874708,0.883882
333,233,71,64,3.130086,0.850743,0.897912
334,225,70,64,3.022616,0.838761,0.897912
335,227,69,64,3.049483,0.826778,0.897912
336,228,67,63,3.062917,0.802814,0.883882
337,227,67,64,3.049483,0.802814,0.897912
338,228,69,63,3.062917,0.826778,0.883882
339,231,70,61,3.103219,0.838761,0.855822
340,231,74,61,3.103219,0.88669,0.855822
341,228,74,62,3.062917,0.88669,0.869852
342,223,68,62,2.995748,0.814796,0.869852
343,232,70,69,3.116653,0.838761,0.968061
344,235,64,67,3.156954,0.766867,0.940002
345,233,60,66,3.130086,0.718938,0.925972
346,224,57,62,3.009182,0.682991,0.869852
347,228,69,70,3.062917,0.826778,0.982091
348,227,74,66,3.049483,0.88669,0.925972
349,230,77,62,3.089785,0.922637,0.869852
350,227,77,67,3.049483,0.922637,0.940002
351,231,74,64,3.103219,0.88669,0.897912
352,230,75,62,3.089785,0.898672,0.869852
353,222,79,64,2.982314,0.946601,0.897912
354,221,79,65,2.96888,0.946601,0.911942
355,232,73,62,3.116653,0.874708,0.869852
356,233,71,64,3.130086,0.850743,0.897912
357,210,82,75,2.821108,0.982548,1.052241
358,144,73,64,1.934474,0.874708,0.897912
359,29,0,0,0.389582,0.0,0.0
360,6,7,1,0.080603,0.083876,0.01403
361,34,83,72,0.456751,0.994531,1.010151
362,101,214,193,1.356819,2.564211,2.707766
363,84,245,213,1.128443,2.935663,2.988363
364,77,253,210,1.034406,3.031521,2.946274
365,75,244,200,1.007539,2.92368,2.805975
366,80,239,199,1.074708,2.863769,2.791945
367,75,237,202,1.007539,2.839804,2.834035
368,70,239,204,0.940369,2.863769,2.862095
369,71,245,204,0.953803,2.935663,2.862095
370,75,246,200,1.007539,2.947645,2.805975
371,82,244,197,1.101575,2.92368,2.763885
372,82,239,198,1.101575,2.863769,2.777915
373,76,238,203,1.020972,2.851787,2.848065
374,67,236,208,0.900068,2.827822,2.918214
375,56,232,208,0.752295,2.779893,2.918214
376,81,231,202,1.088142,2.76791,2.834035
377,91,233,206,1.22248,2.791875,2.890154
378,92,226,200,1.235914,2.707999,2.805975
379,102,228,207,1.370252,2.731964,2.904184
380,95,213,194,1.276216,2.552229,2.721796
381,98,206,186,1.316517,2.468353,2.609557
382,63,162,137,0.846332,1.941132,1.922093
383,32,127,97,0.429883,1.521752,1.360898
384,73,173,139,0.980671,2.072937,1.950153
385,98,209,179,1.316517,2.5043,2.511348
386,95,222,190,1.276216,2.66007,2.665676
387,93,229,193,1.249348,2.743946,2.707766
388,90,235,191,1.209046,2.81584,2.679706
389,90,246,196,1.209046,2.947645,2.749856
390,73,244,190,0.980671,2.92368,2.665676
391,73,255,202,0.980671,3.055486,2.834035
392,77,237,204,1.034406,2.839804,2.862095
393,79,244,202,1.061274,2.92368,2.834035
394,79,253,200,1.061274,3.031521,2.805975
395,79,255,200,1.061274,3.055486,2.805975
396,76,252,202,1.020972,3.019539,2.834035
397,73,243,205,0.980671,2.911698,2.876124
398,72,236,207,0.967237,2.827822,2.904184
399,72,236,207,0.967237,2.827822,2.904184
400,70,234,200,0.940369,2.803857,2.805975
401,72,229,195,0.967237,2.743946,2.735826
402,99,234,204,1.329951,2.803857,2.862095
403,93,187,168,1.249348,2.240689,2.357019
404,0,15,9,0.0,0.179734,0.126269
405,20,0,0,0.268677,0.0,0.0
